Probeset	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	Geneset_CD3TCR	Geneset_ELVIDGE_HIF1A_TARGETS_DN	Geneset_ccRCC	Geneset_Fuhrman	Geneset_Ascierto	Geneset_IMmotion150	Geneset_Merck18	Geneset_RIG1	Geneset_CM009	Geneset_Adenosine	Geneset_EMTstroma	Geneset_Javelin	Geneset_HALLMARK
942_at	942	LOC942	CD86	Dendritic Cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nano	NA	NA	IFNG NA
2841_at	2841	LOC2841	GPR18	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Javelin26	IFNG NA
55016_at	55016	LOC55016	1-Mar	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
55024_at	55024	LOC55024	BANK1	B Cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
836_at	836	LOC836	CASP3	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
958_at	958	LOC958	CD40	Myeloid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
969_at	969	LOC969	CD69	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
1026_at	1026	LOC1026	CDKN1A	Myeloid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
1439_at	1439	LOC1439	CSF2RB	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
317649_at	317649	LOC317649	EIF4E3	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
355_at	355	LOC355	FAS	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
10875_at	10875	LOC10875	FGL2	Myeloid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
2357_at	2357	LOC2357	FPR1	Myeloid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3001_at	3001	LOC3001	GZMA	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3105_at	3105	LOC3105	HLA-A	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3434_at	3434	LOC3434	IFIT1	Dendritic Cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3455_at	3455	LOC3455	IFNAR2	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3587_at	3587	LOC3587	IL10RA	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3560_at	3560	LOC3560	IL2RB	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3662_at	3662	LOC3662	IRF4	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3663_at	3663	LOC3663	IRF5	Myeloid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3394_at	3394	LOC3394	IRF8	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3695_at	3695	LOC3695	ITGB7	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3937_at	3937	LOC3937	LCP2	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
10797_at	10797	LOC10797	MTHFD2	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
4600_at	4600	LOC4600	MX2	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
10135_at	10135	LOC10135	NAMPT	Myeloid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
8202_at	8202	LOC8202	NCOA3	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
84166_at	84166	LOC84166	NLRC5	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
4939_at	4939	LOC4939	OAS2	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
4940_at	4940	LOC4940	OAS3	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
5142_at	5142	LOC5142	PDE4B	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
57162_at	57162	LOC57162	PELI1	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
5690_at	5690	LOC5690	PSMB2	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
5777_at	5777	LOC5777	PTPN6	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
57674_at	57674	LOC57674	RNF213	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
25939_at	25939	LOC25939	SAMHD1	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
57823_at	57823	LOC57823	SLAMF7	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
8651_at	8651	LOC8651	SOCS1	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
7903_at	7903	LOC7903	ST8SIA4	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
6775_at	6775	LOC6775	STAT4	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
7127_at	7127	LOC7127	TNFAIP2	Myeloid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
7128_at	7128	LOC7128	TNFAIP3	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
7378_at	7378	LOC7378	UPP1	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
54739_at	54739	LOC54739	XAF1	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
6375_at	6375	LOC6375	XCL1	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
81030_at	81030	LOC81030	ZBP1	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
57169_at	57169	LOC57169	ZNFX1	Dendritic Cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
