Probeset	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	Geneset_Tcell	Geneset_ELVIDGE_HIF1A_TARGETS_DN	Geneset_ccRCC	Geneset_Fuhrman	Geneset_Ascierto	Geneset_IMmotion150	Geneset_Merck18	Geneset_RIG1	Geneset_CM009	Geneset_Adenosine	Geneset_HALLMARK
83592_at	83592	LOC83592	AKR1E2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8574_at	8574	LOC8574	AKR7A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
22977_at	22977	LOC22977	AKR7A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
246181_at	246181	LOC246181	AKR7L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
207_at	207	LOC207	AKT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84335_at	84335	LOC84335	AKT1S1	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
208_at	208	LOC208	AKT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10000_at	10000	LOC10000	AKT3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
64400_at	64400	LOC64400	AKTIP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
210_at	210	LOC210	ALAD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
211_at	211	LOC211	ALAS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
212_at	212	LOC212	ALAS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
213_at	213	LOC213	ALB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
214_at	214	LOC214	ALCAM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
126133_at	126133	LOC126133	ALDH16A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5832_at	5832	LOC5832	ALDH18A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
216_at	216	LOC216	ALDH1A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8854_at	8854	LOC8854	ALDH1A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
220_at	220	LOC220	ALDH1A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
219_at	219	LOC219	ALDH1B1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10840_at	10840	LOC10840	ALDH1L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
160428_at	160428	LOC160428	ALDH1L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
217_at	217	LOC217	ALDH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
218_at	218	LOC218	ALDH3A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
224_at	224	LOC224	ALDH3A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
221_at	221	LOC221	ALDH3B1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
222_at	222	LOC222	ALDH3B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8659_at	8659	LOC8659	ALDH4A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
7915_at	7915	LOC7915	ALDH5A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
4329_at	4329	LOC4329	ALDH6A1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA NA
